frame;label;cx;cy;cz;dx;dy;dz;phi_x;phi_y;phi_z
112;Person;-2.5085218059316143;0.3816818054443071;0.6434672576156608;0.4016691108664952;0.4918490707578774;0.8901784563376658;0.0;0.0;0.0
112;Person;1.742137871315497;-0.2618192086046872;0.3696424870923527;0.6277858044080626;0.5714184972933006;1.174271806715288;0.0;0.0;0.0
115;Person;-2.411442273269622;0.36939223982553504;0.6690769316958219;0.5845066427867951;0.5090816053104976;0.8934547165788976;0.0;0.0;0.0
115;Person;1.59728914722036;-0.2686812809996137;0.3911037759955056;0.3794728180811804;0.5843826652366088;1.2235371595006077;0.0;0.0;0.0
118;Person;-2.370726556155748;0.35942391875273705;0.68106192972055;0.6569168762966761;0.5283260358759176;0.9463969325207839;0.0;0.0;0.0
118;Person;1.4490090822673067;-0.2668008514621576;0.4186897824415978;0.3830900852484327;0.5963733218029386;1.279540356807618;0.0;0.0;0.0
121;Person;-2.339249394271357;0.3379539894346322;0.6784222765129085;0.6644867223228892;0.5505638279655702;1.083752585740113;0.0;0.0;0.0
121;Person;1.29081932054205;-0.2663076244812259;0.4567951337856401;0.6302845848474184;0.5863609080744476;1.3410571534457825;0.0;0.0;0.0
124;Person;-2.309664646188483;0.30787853002945703;0.6914067918543572;0.5772904550121014;0.5806648281728971;1.1575436644394903;0.0;0.0;0.0
124;Person;1.1861555308266705;-0.2696705243133631;0.4986018954490332;0.7449890071266613;0.5869099725704986;1.392789311428248;0.0;0.0;0.0
127;Person;-2.236550277476945;0.2859541614171843;0.7359648748467809;0.5300481640388996;0.6218476727386882;1.1506001421839656;0.0;0.0;0.0
127;Person;1.1365077068675082;-0.24974327552654185;0.519757068317616;0.7379337551373394;0.6052437345516974;1.4665654303023206;0.0;0.0;0.0
130;Person;-2.083848721138204;0.2698929866746477;0.7450686913296699;0.4363078304568173;0.6308011015548989;1.186826418858969;0.0;0.0;0.0
130;Person;1.0592803335738437;-0.2381859564655489;0.5633153756296327;0.5828132686958387;0.6202559606900601;1.489919314237715;0.0;0.0;0.0
133;Person;-1.950002179983296;0.2639995696289286;0.7635642850778087;0.4573935897360277;0.6396163855492616;1.2364335513680995;0.0;0.0;0.0
133;Person;0.9901716133089078;-0.2267836952935527;0.6070317936373367;0.4420997172110209;0.6289313468767881;1.5286989178218169;0.0;0.0;0.0
